country,region,closure_start_time,closure_end_time,closure_reason,authority,NOTAM_reference
Iran,Tehran FIR,2026-02-28T21:00:00Z,2026-03-07T23:59:00Z,Active conflict - military operations,ICAO / CAOI,A1420/26
Iran,Esfahan FIR,2026-02-28T21:00:00Z,2026-03-07T23:59:00Z,Active conflict - airspace militarization,CAOI,A1421/26
Iraq,Baghdad FIR,2026-03-01T00:30:00Z,2026-03-05T12:00:00Z,Proximity to conflict zone - EASA Level 2 advisory,GCAA Iraq,A0330/26
Saudi Arabia,Jeddah FIR,2026-03-01T02:00:00Z,2026-03-02T18:00:00Z,Precautionary airspace restriction - missile threat,GACA,A0712/26
UAE,Emirates FIR,2026-03-01T03:00:00Z,2026-03-01T18:00:00Z,Temporary SIGMET - unknown airborne objects,GCAA UAE,A0891/26
Kuwait,Kuwait FIR,2026-03-01T00:00:00Z,2026-03-03T06:00:00Z,Conflict proximity advisory - restricted below FL250,CAAK,A0101/26
Bahrain,Bahrain FIR,2026-03-01T01:00:00Z,2026-03-02T23:59:00Z,Military NOTAM - airspace reserved for coalition forces,Civil Aviation Affairs BH,A0200/26
Oman,Muscat FIR,2026-03-01T04:00:00Z,2026-03-03T10:00:00Z,Precautionary route restriction FL290 and below,CAAM Oman,A0311/26
Pakistan,Karachi FIR,2026-03-01T06:00:00Z,2026-03-04T00:00:00Z,Airspace restriction - conflict zone buffer protocol,CAA Pakistan,A0440/26
Jordan,Amman FIR,2026-03-01T02:30:00Z,2026-03-04T20:00:00Z,Precautionary closure - proximity to Iranian airspace,CARC Jordan,A0520/26
Israel,Tel Aviv FIR,2026-02-28T22:00:00Z,2026-03-07T23:59:00Z,Active military engagement - FL000-FL600 closed,IAA,A0660/26
Turkey,Ankara FIR,2026-03-01T08:00:00Z,2026-03-02T20:00:00Z,Precautionary advisory - eastern sector restriction,DHMI,A0750/26
Azerbaijan,Baku FIR,2026-03-01T10:00:00Z,2026-03-03T18:00:00Z,Active conflict proximity - northern Iran border buffer,CAA Azerbaijan,A0820/26
Turkmenistan,Ashgabat FIR,2026-03-01T12:00:00Z,2026-03-04T06:00:00Z,Precautionary restriction - eastern Iran border zone,CAA Turkmenistan,A0910/26
Afghanistan,Kabul FIR,2026-03-01T08:00:00Z,2026-03-06T23:59:00Z,Full airspace closure - conflict spillover risk,ACAA,A1010/26
Armenia,Yerevan FIR,2026-03-02T00:00:00Z,2026-03-04T12:00:00Z,Precautionary restriction - EASA Level 1 advisory,CAA Armenia,A0055/26
Georgia,Tbilisi FIR,2026-03-02T04:00:00Z,2026-03-03T23:59:00Z,Precautionary NOTAM - southern route restriction,Georgian CAA,A0140/26
India,Mumbai FIR,2026-03-01T14:00:00Z,2026-03-02T06:00:00Z,Precautionary deviation advisory - Gulf of Oman routing,DGCA India,A1700/26
Russia,Moscow FIR (South),2026-03-01T18:00:00Z,2026-03-03T06:00:00Z,Voluntary routing restriction - Caspian sector,Rosaviatsia,A2200/26
Egypt,Cairo FIR,2026-03-01T06:00:00Z,2026-03-03T18:00:00Z,Precautionary advisory - eastern Mediterranean routing,ECAA,A0800/26
Cyprus,Nicosia FIR,2026-03-01T08:00:00Z,2026-03-03T12:00:00Z,Precautionary restriction - eastern Mediterranean sector,DCA Cyprus,A0060/26
Greece,Athens FIR,2026-03-01T10:00:00Z,2026-03-02T20:00:00Z,Advisory restriction - Aegean eastern sector,HCAA,A0920/26
Qatar,Doha FIR,2026-03-01T00:30:00Z,2026-03-02T12:00:00Z,Precautionary restriction - Gulf airspace buffer,CAA Qatar,A0330/26
Kazakhstan,Almaty FIR,2026-03-02T06:00:00Z,2026-03-04T18:00:00Z,Precautionary restriction - Caspian Sea sector,CAA Kazakhstan,A0510/26
Yemen,Sana'a FIR,2026-03-01T00:00:00Z,2026-03-07T23:59:00Z,Conflict zone - active operations,CAMA Yemen,A0099/26
